Iteration: 147; Percent complete: 3.7%; Average loss: 4.2219
Iteration: 148; Percent complete: 3.7%; Average loss: 4.1259
Iteration: 149; Percent complete: 3.7%; Average loss: 4.3155
Iteration: 150; Percent complete: 3.8%; Average loss: 4.2055
Iteration: 151; Percent complete: 3.8%; Average loss: 4.5189
Iteration: 152; Percent complete: 3.8%; Average loss: 4.1899
Iteration: 153; Percent complete: 3.8%; Average loss: 4.1934
Iteration: 154; Percent complete: 3.9%; Average loss: 4.2088
Iteration: 155; Percent complete: 3.9%; Average loss: 4.1879
Iteration: 156; Percent complete: 3.9%; Average loss: 4.5567
Iteration: 157; Percent complete: 3.9%; Average loss: 4.1362
Iteration: 158; Percent complete: 4.0%; Average loss: 4.2920
Iteration: 159; Percent complete: 4.0%; Average loss: 4.1979
Iteration: 160; Percent complete: 4.0%; Average loss: 4.3449
Iteration: 161; Percent complete: 4.0%; Average loss: 4.3708
Iteration: 162; Percent complete: 4.0%; Average loss: 4.0955
Iteration: 163; Percent complete: 4.1%; Average loss: 4.1723
Iteration: 164; Percent complete: 4.1%; Average loss: 4.1784
Iteration: 165; Percent complete: 4.1%; Average loss: 4.0541
Iteration: 166; Percent complete: 4.2%; Average loss: 4.2765
Iteration: 167; Percent complete: 4.2%; Average loss: 4.0150
Iteration: 168; Percent complete: 4.2%; Average loss: 4.0915
Iteration: 169; Percent complete: 4.2%; Average loss: 4.1407
Iteration: 170; Percent complete: 4.2%; Average loss: 4.2278
Iteration: 171; Percent complete: 4.3%; Average loss: 4.3074
Iteration: 172; Percent complete: 4.3%; Average loss: 4.2734
Iteration: 173; Percent complete: 4.3%; Average loss: 4.0161
Iteration: 174; Percent complete: 4.3%; Average loss: 4.2137
Iteration: 175; Percent complete: 4.4%; Average loss: 4.4162
Iteration: 176; Percent complete: 4.4%; Average loss: 4.3643
Iteration: 177; Percent complete: 4.4%; Average loss: 4.2587
Iteration: 178; Percent complete: 4.5%; Average loss: 4.3287
Iteration: 179; Percent complete: 4.5%; Average loss: 4.3086
Iteration: 180; Percent complete: 4.5%; Average loss: 3.9373
Iteration: 181; Percent complete: 4.5%; Average loss: 4.5540
Iteration: 182; Percent complete: 4.5%; Average loss: 4.3470
Iteration: 183; Percent complete: 4.6%; Average loss: 4.1419
Iteration: 184; Percent complete: 4.6%; Average loss: 4.1517
Iteration: 185; Percent complete: 4.6%; Average loss: 4.3142
Iteration: 186; Percent complete: 4.7%; Average loss: 4.0685
Iteration: 187; Percent complete: 4.7%; Average loss: 3.7684
Iteration: 188; Percent complete: 4.7%; Average loss: 4.2546
Iteration: 189; Percent complete: 4.7%; Average loss: 4.2646
Iteration: 190; Percent complete: 4.8%; Average loss: 4.1345
Iteration: 191; Percent complete: 4.8%; Average loss: 4.0492
Iteration: 192; Percent complete: 4.8%; Average loss: 3.8601
Iteration: 193; Percent complete: 4.8%; Average loss: 4.3265
Iteration: 194; Percent complete: 4.9%; Average loss: 4.3679
Iteration: 195; Percent complete: 4.9%; Average loss: 3.8639
Iteration: 196; Percent complete: 4.9%; Average loss: 4.2252
Iteration: 197; Percent complete: 4.9%; Average loss: 3.8377
Iteration: 198; Percent complete: 5.0%; Average loss: 4.4073
Iteration: 199; Percent complete: 5.0%; Average loss: 4.3469
Iteration: 200; Percent complete: 5.0%; Average loss: 3.9576
Iteration: 201; Percent complete: 5.0%; Average loss: 3.8507
Iteration: 202; Percent complete: 5.1%; Average loss: 4.2327
Iteration: 203; Percent complete: 5.1%; Average loss: 4.1445
Iteration: 204; Percent complete: 5.1%; Average loss: 3.9759
Iteration: 205; Percent complete: 5.1%; Average loss: 3.8316
Iteration: 206; Percent complete: 5.1%; Average loss: 3.9486
Iteration: 207; Percent complete: 5.2%; Average loss: 4.2896
Iteration: 208; Percent complete: 5.2%; Average loss: 4.1316
Iteration: 209; Percent complete: 5.2%; Average loss: 4.0862
Iteration: 210; Percent complete: 5.2%; Average loss: 3.9612
Iteration: 211; Percent complete: 5.3%; Average loss: 4.2822
Iteration: 212; Percent complete: 5.3%; Average loss: 4.1592
Iteration: 213; Percent complete: 5.3%; Average loss: 4.0190
Iteration: 214; Percent complete: 5.3%; Average loss: 3.9595
Iteration: 215; Percent complete: 5.4%; Average loss: 4.2168
Iteration: 216; Percent complete: 5.4%; Average loss: 3.8075
Iteration: 217; Percent complete: 5.4%; Average loss: 4.2254
Iteration: 218; Percent complete: 5.5%; Average loss: 4.0303
Iteration: 219; Percent complete: 5.5%; Average loss: 4.0574
Iteration: 220; Percent complete: 5.5%; Average loss: 4.3566
Iteration: 221; Percent complete: 5.5%; Average loss: 4.0246
Iteration: 222; Percent complete: 5.5%; Average loss: 4.1035
Iteration: 223; Percent complete: 5.6%; Average loss: 4.0487
Iteration: 224; Percent complete: 5.6%; Average loss: 4.0606
Iteration: 225; Percent complete: 5.6%; Average loss: 4.2402
Iteration: 226; Percent complete: 5.7%; Average loss: 4.1104
Iteration: 227; Percent complete: 5.7%; Average loss: 4.1288
Iteration: 228; Percent complete: 5.7%; Average loss: 4.1125
Iteration: 229; Percent complete: 5.7%; Average loss: 3.9673
Iteration: 230; Percent complete: 5.8%; Average loss: 4.0444
Iteration: 231; Percent complete: 5.8%; Average loss: 4.1177
Iteration: 232; Percent complete: 5.8%; Average loss: 4.1137
Iteration: 233; Percent complete: 5.8%; Average loss: 4.1109
Iteration: 234; Percent complete: 5.9%; Average loss: 4.1928
Iteration: 235; Percent complete: 5.9%; Average loss: 4.2567
Iteration: 236; Percent complete: 5.9%; Average loss: 3.9200
Iteration: 237; Percent complete: 5.9%; Average loss: 4.1876
Iteration: 238; Percent complete: 5.9%; Average loss: 4.0149
Iteration: 239; Percent complete: 6.0%; Average loss: 3.5460
Iteration: 240; Percent complete: 6.0%; Average loss: 4.0564
Iteration: 241; Percent complete: 6.0%; Average loss: 4.0216
Iteration: 242; Percent complete: 6.0%; Average loss: 3.9205
Iteration: 243; Percent complete: 6.1%; Average loss: 4.0874
Iteration: 244; Percent complete: 6.1%; Average loss: 3.8189
Iteration: 245; Percent complete: 6.1%; Average loss: 3.9937
Iteration: 246; Percent complete: 6.2%; Average loss: 4.0050
Iteration: 247; Percent complete: 6.2%; Average loss: 4.1049
Iteration: 248; Percent complete: 6.2%; Average loss: 4.0710
Iteration: 249; Percent complete: 6.2%; Average loss: 4.0141
Iteration: 250; Percent complete: 6.2%; Average loss: 3.8244
Iteration: 251; Percent complete: 6.3%; Average loss: 3.9315
Iteration: 252; Percent complete: 6.3%; Average loss: 3.7707
Iteration: 253; Percent complete: 6.3%; Average loss: 4.0975
Iteration: 254; Percent complete: 6.3%; Average loss: 4.0038
Iteration: 255; Percent complete: 6.4%; Average loss: 4.0383
Iteration: 256; Percent complete: 6.4%; Average loss: 3.8154
Iteration: 257; Percent complete: 6.4%; Average loss: 4.0454
Iteration: 258; Percent complete: 6.5%; Average loss: 3.9898
Iteration: 259; Percent complete: 6.5%; Average loss: 3.8159
Iteration: 260; Percent complete: 6.5%; Average loss: 4.0693
Iteration: 261; Percent complete: 6.5%; Average loss: 3.8842
Iteration: 262; Percent complete: 6.6%; Average loss: 3.7381
Iteration: 263; Percent complete: 6.6%; Average loss: 3.9855
Iteration: 264; Percent complete: 6.6%; Average loss: 3.7997
Iteration: 265; Percent complete: 6.6%; Average loss: 4.1714
Iteration: 266; Percent complete: 6.7%; Average loss: 3.8211
Iteration: 267; Percent complete: 6.7%; Average loss: 3.8939
Iteration: 268; Percent complete: 6.7%; Average loss: 3.8259
Iteration: 269; Percent complete: 6.7%; Average loss: 3.9138
Iteration: 270; Percent complete: 6.8%; Average loss: 3.8558
Iteration: 271; Percent complete: 6.8%; Average loss: 3.8971
Iteration: 272; Percent complete: 6.8%; Average loss: 4.0049
Iteration: 273; Percent complete: 6.8%; Average loss: 3.9972
Iteration: 274; Percent complete: 6.9%; Average loss: 4.0750
Iteration: 275; Percent complete: 6.9%; Average loss: 4.0135
Iteration: 276; Percent complete: 6.9%; Average loss: 3.9942
Iteration: 277; Percent complete: 6.9%; Average loss: 3.7012
Iteration: 278; Percent complete: 7.0%; Average loss: 4.0427
Iteration: 279; Percent complete: 7.0%; Average loss: 3.9985
Iteration: 280; Percent complete: 7.0%; Average loss: 4.1444
Iteration: 281; Percent complete: 7.0%; Average loss: 4.0269
Iteration: 282; Percent complete: 7.0%; Average loss: 3.9315
Iteration: 283; Percent complete: 7.1%; Average loss: 4.0537
Iteration: 284; Percent complete: 7.1%; Average loss: 3.8888
Iteration: 285; Percent complete: 7.1%; Average loss: 3.7437
Iteration: 286; Percent complete: 7.1%; Average loss: 3.7631
Iteration: 287; Percent complete: 7.2%; Average loss: 4.2398
Iteration: 288; Percent complete: 7.2%; Average loss: 3.4887
Iteration: 289; Percent complete: 7.2%; Average loss: 4.0402
Iteration: 290; Percent complete: 7.2%; Average loss: 4.1158
Iteration: 291; Percent complete: 7.3%; Average loss: 4.1258
Iteration: 292; Percent complete: 7.3%; Average loss: 3.8386
Iteration: 293; Percent complete: 7.3%; Average loss: 3.9137
Iteration: 294; Percent complete: 7.3%; Average loss: 3.9105
Iteration: 295; Percent complete: 7.4%; Average loss: 3.7999
Iteration: 296; Percent complete: 7.4%; Average loss: 4.0739
Iteration: 297; Percent complete: 7.4%; Average loss: 4.0266
Iteration: 298; Percent complete: 7.4%; Average loss: 3.9591
Iteration: 299; Percent complete: 7.5%; Average loss: 4.1321
Iteration: 300; Percent complete: 7.5%; Average loss: 4.1405
Iteration: 301; Percent complete: 7.5%; Average loss: 4.0825
Iteration: 302; Percent complete: 7.5%; Average loss: 3.8508
Iteration: 303; Percent complete: 7.6%; Average loss: 4.1545
Iteration: 304; Percent complete: 7.6%; Average loss: 3.9904
Iteration: 305; Percent complete: 7.6%; Average loss: 3.9782
Iteration: 306; Percent complete: 7.6%; Average loss: 3.9216
Iteration: 307; Percent complete: 7.7%; Average loss: 3.8801
Iteration: 308; Percent complete: 7.7%; Average loss: 3.9354
Iteration: 309; Percent complete: 7.7%; Average loss: 3.9773
Iteration: 310; Percent complete: 7.8%; Average loss: 3.7405
Iteration: 311; Percent complete: 7.8%; Average loss: 3.8893
Iteration: 312; Percent complete: 7.8%; Average loss: 3.7964
Iteration: 313; Percent complete: 7.8%; Average loss: 3.8896
Iteration: 314; Percent complete: 7.8%; Average loss: 3.8868
Iteration: 315; Percent complete: 7.9%; Average loss: 4.0495
Iteration: 316; Percent complete: 7.9%; Average loss: 3.8325
Iteration: 317; Percent complete: 7.9%; Average loss: 3.8481
Iteration: 318; Percent complete: 8.0%; Average loss: 3.8525
